X,Y,Z
-6.347083308911742,49.91208331432409,1
-5.747083311311904,50.06208331372399,1
-5.747083311311904,50.112083313523954,0
-5.697083311511918,50.01208331392402,1
-5.697083311511918,50.06208331372399,1
-5.697083311511918,50.112083313523954,1
-5.647083311711931,50.01208331392402,0
-5.647083311711931,50.06208331372399,1
-5.647083311711931,50.112083313523954,1
-5.597083311911945,50.06208331372399,1
-5.597083311911945,50.112083313523954,1
-5.597083311911945,50.16208331332392,1
-5.547083312111958,50.06208331372399,1
-5.547083312111958,50.112083313523954,1
-5.547083312111958,50.16208331332392,1
-5.497083312311972,50.112083313523954,1
-5.497083312311972,50.16208331332392,1
-5.497083312311972,50.212083313123884,1
-5.447083312511985,50.06208331372399,0
-5.447083312511985,50.112083313523954,1
-5.447083312511985,50.16208331332392,1
-5.397083312711999,50.06208331372399,1
-5.397083312711999,50.112083313523954,1
-5.397083312711999,50.16208331332392,1
-5.397083312711999,50.212083313123884,1
-5.347083312912012,50.06208331372399,1
-5.347083312912012,50.112083313523954,1
-5.347083312912012,50.16208331332392,1
-5.347083312912012,50.212083313123884,1
-5.297083313112026,49.96208331412406,0
-5.297083313112026,50.01208331392402,1
-5.297083313112026,50.06208331372399,1
-5.297083313112026,50.112083313523954,1
-5.297083313112026,50.16208331332392,1
-5.297083313112026,50.212083313123884,1
-5.297083313112026,50.26208331292385,0
-5.297083313112026,51.862083306522734,1
-5.247083313312039,49.96208331412406,1
-5.247083313312039,50.01208331392402,1
-5.247083313312039,50.06208331372399,1
-5.247083313312039,50.112083313523954,1
-5.247083313312039,50.16208331332392,1
-5.247083313312039,50.212083313123884,1
-5.247083313312039,50.26208331292385,1
-5.247083313312039,50.312083312723814,1
-5.247083313312039,51.862083306522734,1
-5.247083313312039,51.9120833063227,0
-5.197083313512053,49.96208331412406,1
-5.197083313512053,50.06208331372399,1
-5.197083313512053,50.112083313523954,1
-5.197083313512053,50.16208331332392,1
-5.197083313512053,50.212083313123884,1
-5.197083313512053,50.26208331292385,1
-5.197083313512053,50.312083312723814,1
-5.197083313512053,51.662083307322874,0
